"gene"	"ark1B"	"ark2B"	"blrB"	"polB"	"revB"	"pcnB"
"Potri.001G041700"	0	0	0	0	"0"	"0"
"Potri.001G041800"	1	0	0	0	"0"	"0"
"Potri.001G041900"	0	0	0	0	"0"	"0"
"Potri.001G042000"	0	0	1	1	"0"	"1"
"Potri.001G042100"	0	0	0	0	"0"	"0"
"Potri.001G042200"	0	0	0	0	"0"	"0"
"Potri.001G042300"	0	0	0	0	"0"	"0"
"Potri.001G042400"	1	0	0	0	"0"	"0"
"Potri.001G042500"	0	0	1	1	"0"	"0"
"Potri.001G042600"	0	0	0	0	"0"	"0"
"Potri.001G042700"	0	0	1	0	"0"	"1"
"Potri.001G042800"	0	0	0	0	"0"	"0"
"Potri.001G042900"	0	0	1	1	"0"	"0"
"Potri.001G043000"	1	0	1	0	"0"	"0"
"Potri.001G043100"	1	0	1	1	"0"	"0"
"Potri.001G043200"	1	0	1	0	"0"	"1"
"Potri.001G043300"	1	1	0	0	"0"	"1"
"Potri.001G043400"	1	1	0	0	"0"	"1"
"Potri.001G043500"	1	0	0	0	"0"	"0"
"Potri.001G043600"	1	0	0	0	"0"	"0"
"Potri.001G043700"	0	0	0	0	"0"	"0"
"Potri.001G043800"	0	0	0	0	"0"	"0"
"Potri.001G043900"	0	0	0	0	"0"	"0"
"Potri.001G044000"	1	0	0	0	"0"	"0"
"Potri.001G044100"	0	0	0	0	"0"	"0"
"Potri.001G044200"	1	0	1	1	"0"	"0"
"Potri.001G044300"	0	0	1	1	"0"	"0"
"Potri.001G044400"	0	0	0	0	"0"	"0"
"Potri.001G044500"	0	0	0	0	"0"	"0"
"Potri.001G044600"	0	0	0	0	"0"	"0"
"Potri.001G044700"	1	0	0	0	"0"	"1"
"Potri.001G044800"	1	0	0	0	"0"	"0"
"Potri.001G044900"	0	0	0	0	"0"	"0"
"Potri.001G045000"	0	0	0	0	"0"	"0"
"Potri.001G045100"	0	0	0	0	"0"	"0"
"Potri.001G045200"	0	0	0	0	"0"	"0"
"Potri.001G045300"	0	0	0	0	"0"	"0"
"Potri.001G045400"	0	0	0	0	"0"	"0"
"Potri.001G045500"	0	0	0	0	"0"	"1"
"Potri.001G045600"	0	0	0	0	"0"	"0"
"Potri.001G045700"	0	0	0	0	"0"	"0"
"Potri.001G045800"	0	0	0	0	"0"	"0"
"Potri.001G045900"	0	0	0	0	"0"	"0"
"Potri.001G046000"	0	0	0	0	"0"	"0"
"Potri.001G046100"	0	0	0	0	"0"	"0"
"Potri.001G046200"	0	0	0	0	"0"	"0"
"Potri.001G046300"	0	0	0	0	"0"	"0"
"Potri.001G046400"	0	0	0	0	"0"	"0"
"Potri.001G046500"	1	1	0	0	"0"	"0"
"Potri.001G046600"	1	0	0	0	"0"	"0"
"Potri.001G046700"	0	0	0	0	"0"	"0"
"Potri.001G046800"	0	0	0	0	"0"	"0"
"Potri.001G046900"	1	0	0	0	"0"	"0"
"Potri.001G047000"	1	0	0	0	"0"	"0"
"Potri.001G047100"	1	1	0	0	"0"	"0"
"Potri.001G047200"	1	0	0	0	"0"	"0"
"Potri.001G047300"	1	0	1	0	"0"	"1"
"Potri.001G047400"	1	0	1	0	"0"	"1"
"Potri.001G047500"	0	0	0	0	"0"	"0"
"Potri.001G047600"	0	0	0	0	"0"	"0"
"Potri.001G047700"	0	0	0	0	"0"	"0"
"Potri.001G047800"	0	0	0	0	"0"	"0"
"Potri.001G047900"	1	0	0	0	"0"	"0"
"Potri.001G048000"	0	0	1	1	"0"	"0"
"Potri.001G048100"	1	0	0	0	"0"	"0"
"Potri.001G048200"	0	0	1	0	"0"	"0"
"Potri.001G048300"	0	0	1	0	"0"	"1"
"Potri.001G048400"	0	0	0	0	"0"	"0"
"Potri.001G048500"	0	0	0	0	"0"	"0"
"Potri.001G048600"	0	0	0	0	"0"	"0"
"Potri.001G048700"	1	0	0	0	"0"	"0"
"Potri.001G048800"	0	0	0	0	"0"	"0"
"Potri.001G048900"	0	0	0	0	"0"	"0"
"Potri.001G049000"	0	0	0	0	"0"	"0"
"Potri.001G049100"	0	0	0	0	"0"	"0"
"Potri.001G049200"	0	0	0	0	"0"	"0"
"Potri.001G049300"	1	0	0	0	"0"	"0"
"Potri.001G049400"	1	0	0	0	"0"	"1"
"Potri.001G049500"	0	0	0	0	"0"	"0"
"Potri.001G049600"	0	0	0	0	"0"	"0"
"Potri.001G049700"	0	0	0	0	"0"	"0"
"Potri.001G049800"	1	1	0	0	"0"	"0"
"Potri.001G049900"	0	0	0	0	"0"	"0"
"Potri.001G050000"	1	1	0	0	"0"	"0"
"Potri.001G050100"	1	0	1	0	"0"	"0"
"Potri.001G050200"	0	0	0	0	"0"	"1"
"Potri.001G050300"	1	0	0	0	"0"	"0"
"Potri.001G050400"	1	0	0	0	"0"	"0"
"Potri.001G050500"	1	0	0	0	"0"	"0"
"Potri.001G050600"	1	0	0	0	"0"	"0"
"Potri.001G050700"	1	1	0	0	"0"	"0"
"Potri.001G050800"	0	0	0	0	"0"	"0"
"Potri.001G050900"	1	0	0	0	"0"	"0"
